kode_prodi,nama_prodi,daya_tampung_2019,jumlah_peminat_2018,jumlah_peminat_2017,jumlah_peminat_2016,daya_tampung_2018,daya_tampung_2017,daya_tampung_2016,sma_ipa_2018,sma_ipa_2017,sma_ipa_2016,ma_ipa_2018,ma_ipa_2017,ma_ipa_2016,sma_ips_2018,sma_ips_2017,sma_ips_2016,ma_ips_2018,ma_ips_2017,ma_ips_2016,smk_ipa_2018,smk_ipa_2017,smk_ipa_2016,smk_ips_2018,smk_ips_2017,smk_ips_2016,smk_agama_2018,smk_agama_2017,smk_agama_2016,aceh_2018,aceh_2017,aceh_2016,sumatera_utara_2018,sumatera_utara_2017,sumatera_utara_2016,riau_2018,riau_2017,riau_2016,bengkulu_2018,bengkulu_2017,bengkulu_2016,kalimantan_barat_2018,kalimantan_barat_2017,kalimantan_barat_2016
1152057,KRIYA SENI,24,20,24, - ,26,30, - ,3,14,,3,2,,3,2,,5,,,3,,,3,5,,,1,,16,21,,2,2,,1,,,,1,,1,,
1152042,SENI RUPA MURNI,24,21,16, - ,27,30, - ,4,10,,4,1,,3,1,,4,,,5,1,,1,2,,,,,20,11,,,2,,,,,,1,,,,
1152065,DESAIN KOMUNIKASI VISUAL,28,48,34, - ,25,30, - ,11,12,,7,1,,8,7,,5,2,,12,8,,3,1,,,1,,31,23,,10,9,,,,,,,,,,
1162102,KESEJAHTERAAN SOSIAL,63, - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162091,PSIKOLOGI,48,301,292,175,50,60,110,107,99,51,74,85,58,47,41,30,19,19,12,20,24,8,13,9,6,1,,,286,278,158,9,4,12,1,,,,,,,,
1131065,PERIKANAN,60,225,259,212,54,41,48,120,137,87,8,12,15,37,52,56,8,9,6,33,33,29,11,12,11,,,,214,253,205,10,2,7,,,,,,,,,
1232046,HUKUM,59, - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232031,MANAJEMEN,96, - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112234,MANAJEMEN (PSDKU GAYO LUES),45,72,69,85,29,24,24,17,13,22,4,,4,21,34,40,8,3,8,11,11,4,10,8,6,,,,63,64,78,5,4,4,,,,,,,,,
1232015,ILMU PERPUSTAKAAN,83,480,397,257,57,51,56,142,82,65,40,43,24,142,118,72,54,58,37,15,20,13,52,45,33,,1,,26,22,22,426,363,218,16,5,4,,,,,,
1432114,PENDIDIKAN KRIYA,28,35, - , - ,32, - , - ,8,,,4,,,9,,,,,,1,,,8,,,,,,1,,,,,,4,,,2,,,,,
1232023,ILMU KOMUNIKASI,81,1156,844,605,154,145,56,264,181,100,55,50,50,420,266,206,134,113,89,73,51,29,119,123,95,2,10,1,38,26,27,1056,771,521,39,25,39,1,1,1,,1,1
1432106,ANTROPOLOGI BUDAYA,33,92, - , - ,32, - , - ,19,,,,,,36,,,7,,,10,,,10,,,,,,,,,9,,,6,,,2,,,,,
1432095,DESAIN DAN KOMUNIKASI VISUAL,67,288,157, - ,65,40, - ,63,37,,10,4,,74,35,,11,8,,59,30,,45,26,,1,,,3,3,,23,6,,17,10,,6,4,,,,
1422354,PENDIDIKAN TARI,45,63, - , - ,45, - , - ,21,,,4,,,17,,,3,,,5,,,9,,,,,,,,,7,,,9,,,7,,,,,
1612143,PENDIDIKAN JASMANI DAN KESEHATAN,40,618,712,649,37,35,24,182,200,186,16,29,18,282,313,302,27,41,22,33,54,59,42,43,39,1,,,1,,,10,9,12,,,,548,605,541,,,
1612174,JURNALISTIK,50,386,352,381,49,61,24,95,86,100,12,12,6,143,153,160,23,13,17,45,33,44,49,29,35,1,,1,,,,27,25,31,3,,2,301,251,260,,,
1612135,PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,43,516,493,449,37,36,24,193,193,156,31,22,19,189,193,186,23,28,17,23,17,28,25,27,25,,,,,,,13,5,7,,,1,431,414,367,,,
1611043,AGRIBISNIS,56,837,1041,835,45,95,60,524,661,522,45,60,43,151,145,139,16,18,18,66,84,73,16,39,15,,,,1,2,3,152,213,171,,2,3,494,583,481,1,,
1712167,ILMU KOMUNIKASI,130,1773,1521,1182,108,100,60,456,391,306,50,32,22,970,869,689,77,67,35,66,54,39,105,69,69,4,,,,,2,68,52,46,8,11,7,52,32,15,,1,
1712175,PENDIDIKAN LUAR SEKOLAH,50,220,183,134,35,32,20,58,42,45,4,5,8,97,95,57,17,21,5,14,6,5,15,12,10,,,1,,,,4,5,2,1,,,4,3,3,,,
1612166,ILMU PERPUSTAKAAN,36,301,290,261,37,32,15,87,93,85,13,12,9,140,126,112,22,13,5,11,17,17,14,23,18,,1,,,,,14,14,17,3,,,185,172,155,,,
1712183,ILMU HUBUNGAN INTERNASIONAL,130,1251,1028,1268,106,100,60,470,401,479,54,31,51,563,474,559,44,23,48,31,21,42,62,40,64,1,1,,4,3,2,79,72,113,4,9,17,31,25,8,,,2
1712144,PGSD,41,1880,1960,1684,32,32,20,848,888,760,120,120,112,625,669,545,123,131,100,49,51,47,82,63,91,1,,,,1,1,31,23,20,3,3,,38,34,19,1,,
1712121,PENJASKES,40,555,658,596,39,32,20,184,232,173,21,26,15,245,304,292,29,20,39,33,40,37,26,24,25,,1,,,1,1,10,13,12,2,,2,21,24,17,,,
1712152,PAUD,51,534,487,448,36,32,20,222,201,179,44,43,24,177,156,162,30,38,33,22,18,9,27,21,32,,,,1,2,,5,4,4,1,,,5,11,3,,,
1712094,PEND EKONOMI,41,474,478,447,37,32,20,54,53,58,7,3,4,240,259,247,49,55,49,22,11,8,89,82,63,,,1,,,,16,11,14,,1,1,6,5,4,,,
1712086,PEND SEJARAH,42,384,398,410,37,32,20,81,71,78,11,10,4,215,253,260,47,28,31,7,11,7,17,17,23,,,,,1,,16,12,11,2,2,1,18,24,14,,,
1612151,BIMBINGAN DAN KONSELING,46,496,520,547,37,42,24,175,169,174,30,30,22,198,210,227,16,22,16,22,27,40,34,33,43,,,,,1,,12,16,20,1,2,,407,420,434,1,,
1712113,PEND BHS INGGRIS,41,878,744,656,32,32,20,410,335,321,67,46,37,231,213,175,46,28,32,38,32,22,52,57,45,,2,,1,,,23,18,10,1,3,4,23,12,13,,,
1712047,AKUNTANSI,104,2096,2183,1985,84,80,60,678,676,636,52,52,47,857,941,882,113,98,96,58,44,40,288,321,247,2,,2,1,3,1,41,60,40,8,4,4,44,47,38,,1,1
1712105,"PEND BHS, SATRA IND & DAERAH",45,701,710,607,35,32,20,284,281,249,45,39,35,243,240,205,49,69,49,25,26,21,26,32,28,,,,,1,,20,15,10,1,,1,8,16,16,,,
1712032,MANAJEMEN,105,2870,2703,2317,88,80,60,783,699,625,66,54,48,1405,1355,1200,142,134,102,83,83,61,318,300,223,3,,,3,1,2,72,71,57,11,8,7,54,42,31,,3,2
1712063,SOSIOLOGI,106,998,1035,884,86,80,60,98,113,99,10,12,16,700,730,612,100,111,87,24,23,19,56,37,46,,,,,2,2,54,45,41,4,6,1,12,11,6,,,
1712024,ILMU HUKUM,254,2403,2172,1879,191,180,135,832,724,592,49,48,41,1217,1179,1040,105,71,64,78,57,39,85,53,70,1,2,,,3,,146,151,100,16,19,20,55,52,32,2,1,2
1711396,KESEHATAN LINGKUNGAN,51,517,443, - ,37,36, - ,429,339,,40,42,,14,27,,1,3,,25,17,,3,7,,1,,,,,,20,16,,4,2,,7,4,,,2,
1711373,PROTEKSI TANAMAN,52,271,185,131,33,24,42,231,153,103,16,9,9,4,6,7,1,2,1,15,12,11,3,,,,,,,,,28,12,19,5,1,1,2,1,1,,,
1711381,GIZI,51,1124,1335, - ,39,36, - ,924,1097,,94,93,,26,37,,3,13,,48,60,,6,15,,,,,1,2,,47,86,,7,12,,12,8,,,,
1711357,ILMU TANAH,51,371,323,346,35,24,18,283,251,254,31,18,25,21,17,20,2,3,1,24,29,34,6,1,8,1,,1,1,,,12,5,20,4,,3,3,7,8,1,,
1712136,BIMB & KONSELING,53,620,532,466,39,32,20,177,181,141,26,11,29,302,259,214,48,38,35,17,12,14,36,24,23,,,,1,,1,21,10,9,3,3,1,5,6,2,,,
1712071,PPKN,44,396,402,358,35,32,20,136,150,115,16,16,11,171,182,172,36,22,25,9,13,14,24,12,15,,,,,,,2,7,2,,,1,6,4,,,,
1712016,EKONOMI PEMBANGUNAN ,101,1199,1189,1053,83,80,60,228,212,206,18,20,7,709,744,682,67,63,46,24,27,22,127,102,74,1,,,1,3,2,51,64,45,3,1,4,7,16,8,,,
1711342,PSIKOLOGI,41,1178,915,854,35,32,24,925,691,682,67,63,46,89,85,72,10,19,12,40,31,21,19,15,10,1,,,2,2,2,69,51,43,5,13,8,24,18,22,1,,1
1711311,PETERNAKAN,50,346,339,282,38,24,18,215,223,214,28,30,15,34,45,23,4,6,,50,26,20,9,2,4,,,,,,,26,19,23,3,2,1,4,1,1,1,,
1711326,FARMASI,60,2096,2179,1903,49,48,30,1506,1646,1461,140,119,143,45,66,40,4,15,10,315,248,204,13,20,5,1,,1,4,6,5,83,128,115,23,17,26,82,89,107,2,,2
1711334,TEKNIK GEOLOGI,43,579,498,477,34,32,24,451,399,386,39,31,26,14,19,19,1,2,,64,40,40,3,1,2,,,,3,2,1,32,22,36,14,9,6,13,11,12,,2,
1711303,AGROEKOTEKNOLOGI,51,583,634,752,35,32,30,459,502,615,43,44,43,10,12,17,1,3,2,54,60,57,8,4,6,,,,,2,,122,106,179,10,7,12,8,9,7,1,1,
1711284,TEKNIK INFORMATIKA,86,1951,1772,1382,58,56,39,1280,1120,859,82,97,75,153,160,122,14,15,21,320,286,212,49,44,47,4,1,3,1,7,4,78,78,61,20,11,16,62,45,44,2,2,
1711253,ILMU KEPERAWATAN,64,779,908,809,27,24,18,584,632,625,54,67,53,42,76,61,8,12,9,63,83,40,10,15,10,,,,,2,,22,23,28,4,4,4,15,21,15,,1,
1711237,BUDIDAYA PERAIRAN,51,318,276,321,35,24,18,253,229,263,22,17,15,15,7,12,1,2,3,18,16,19,3,3,7,,,,1,2,2,81,42,59,1,1,,3,1,2,,,
1711261,PEND TEKNIK MESIN,49,236,253,233,36,32,20,105,105,93,13,11,12,22,22,13,2,2,,76,95,92,12,9,9,,,1,,,,2,8,9,2,,1,1,5,4,,,
1711222,ILMU KELAUTAN,61,458,431,379,51,48,30,369,363,309,43,20,20,14,20,11,4,,,21,26,24,4,2,8,,,,,1,2,65,67,62,1,6,2,8,4,6,,1,
1711245,TEKNOLOGI HASIL PERIKANAN,50,274,246,209,34,24,18,201,155,152,26,21,16,15,36,16,3,5,1,19,22,16,3,5,8,,,,,,,35,17,17,,,,5,3,2,,,1
1711206,ILMU KESEHATAN MASYARAKAT,115,1934,1769,1638,87,80,60,1550,1448,1350,157,127,132,54,70,59,10,15,13,115,77,50,18,16,14,,,,2,4,,93,84,82,17,17,14,29,24,31,,1,
1711187,PEND. KIMIA,40,308,321,302,32,32,20,273,297,258,28,19,35,,,,1,,1,6,5,8,,,,,,,,,,22,16,22,2,1,2,8,8,8,,,
1711214,ARSITEKTUR,47,760,859,748,33,32,24,563,634,577,50,37,37,30,42,28,5,3,3,94,120,89,7,11,8,1,,,4,4,3,43,68,64,9,8,12,20,25,36,,,
1711195,PEND FISIKA,40,270,290,284,33,32,20,236,251,235,24,27,37,,1,,,,1,9,10,10,,1,,,,,,1,,15,12,21,2,,,3,6,3,,,
1711141,TEKNIK PERTANIAN,51,713,765,609,43,40,30,497,514,402,52,50,56,66,84,52,9,12,11,65,75,60,8,13,12,1,,2,1,,1,38,38,26,2,5,3,9,8,4,,,
1711172,PEND BIOLOGI,43,678,729,674,35,32,20,594,640,583,70,78,75,1,,1,,2,,8,4,11,1,1,2,,1,,2,1,,20,21,23,,1,3,11,15,8,,,
1711276,SISTEM KOMPUTER,88,1225,1085,966,59,56,39,699,593,525,61,53,45,155,144,154,12,22,14,210,190,162,44,46,38,2,2,2,2,2,2,45,43,28,5,5,1,9,13,6,,1,
1711292,SISTEM INFORMASI,85,1656,1456,1138,57,56,39,1110,964,714,96,90,64,162,156,147,21,25,20,191,155,136,37,31,35,2,4,1,,1,,64,57,43,9,6,3,10,17,10,,1,
1711164,PEND. MATEMATIKA,40,636,633,603,32,32,20,515,510,507,73,51,46,7,22,12,4,6,6,17,23,18,7,11,9,,,,,,1,24,23,39,1,1,1,18,10,17,,,
1712055,ILMU ADM NEGARA,126,2010,1929,1706,84,80,60,512,481,454,43,46,29,1071,1113,941,98,90,93,39,42,24,208,122,136,1,,,,1,,70,62,49,5,5,6,15,30,20,,1,
1711091,FISIKA,64,230,208,153,51,48,30,200,182,127,19,11,19,2,2,,,1,,9,11,6,,1,,,,,,,,14,31,8,4,3,,3,3,,1,1,
1711102,KIMIA,61,297,267,218,50,48,30,257,219,187,23,32,18,2,2,,,2,,13,10,10,,,,,,,,,,33,17,16,4,2,3,7,15,3,,,
1711083,MATEMATIKA,60,353,324,344,53,48,30,295,276,295,31,25,22,6,3,4,2,2,,11,9,13,4,5,3,,,,1,,,41,42,38,3,5,3,8,5,10,,,
1711117,BIOLOGI,62,436,404,366,50,48,30,378,342,311,42,41,33,4,3,,,,,11,13,15,,2,2,,,,1,1,1,25,14,18,1,5,1,7,10,7,,1,
1711075,PENDIDIKAN DOKTER GIGI,40,1246,1250,942,24,24,18,1067,1060,846,79,77,57,36,35,22,7,6,,40,48,10,3,8,2,,,,17,5,2,86,88,66,21,14,14,40,47,40,1,2,1
1711133,TEKNOLOGI HASIL PERTANIAN ,54,559,596,471,44,40,30,412,435,367,58,47,33,31,46,25,7,5,7,33,48,27,6,4,4,,,1,1,,,48,35,37,2,4,3,8,6,8,,,1
1711052,TEKNIK ELEKTRO,73,1370,1337,1070,50,48,36,958,910,704,60,58,61,40,51,32,2,7,6,263,277,232,13,11,16,,,,,2,1,25,36,30,7,12,4,20,12,13,,,1
1711125,AGRIBISNIS,101,1610,1572,1385,86,80,60,1226,1220,1068,122,113,96,111,118,104,16,16,13,82,74,66,29,19,13,1,,1,2,2,,164,178,159,12,9,5,19,14,14,2,,
1711021,TEKNIK PERTAMBANGAN,60,1858,1821,1513,51,48,36,1358,1333,1090,92,85,82,135,104,93,7,15,12,206,223,191,21,23,18,,1,,10,12,8,162,175,175,30,28,29,67,56,40,2,2,2
1711044,TEKNIK MESIN,71,1293,1107,1153,48,48,36,748,609,627,51,37,54,92,66,82,4,6,7,343,321,314,26,27,25,,3,2,,1,1,40,49,51,5,10,9,16,15,19,,,
1711036,TEKNIK KIMIA,72,842,769,689,48,48,36,759,680,621,53,46,36,1,5,,2,,1,23,35,28,1,,1,,,,1,,2,39,49,25,9,14,8,20,24,16,,,
1711013,TEKNIK SIPIL,72,2161,1968,1828,50,48,36,1629,1482,1399,106,112,87,109,94,90,8,7,14,243,226,193,20,20,21,,1,,,4,2,87,117,101,14,14,7,54,50,53,2,1,
1612127,PENDIDIKAN GURU SEKOLAH DASAR,40,1465,1500,1690,50,51,36,587,667,715,71,78,81,536,533,606,74,74,59,62,62,92,75,48,94,1,,1,,,1,55,31,27,,2,3,1157,1187,1376,,1,
1612093,PENDIDIKAN LUAR SEKOLAH,46,159,158,160,40,35,12,49,50,53,7,7,3,69,68,75,12,3,6,9,10,4,7,13,10,,,,,,,6,9,6,,,,122,118,129,,,
1612112,PENDIDIKAN BAHASA INGGRIS,64,672,720,690,34,52,24,340,360,314,25,29,30,187,200,209,22,24,22,24,28,46,32,43,32,,1,,,1,2,40,17,16,,3,2,567,615,600,,,
1711067,PENDIDIKAN DOKTER,125,3272,2490,2005,102,80,60,3034,2316,1872,238,174,133,,,,,,,,,,,,,,,,35,10,7,270,148,100,64,36,37,113,72,57,14,3,4
1612104,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,65,665,824,775,56,52,24,221,312,296,23,46,37,252,310,283,40,44,29,32,32,43,37,39,52,,,,1,,2,27,30,25,,3,2,583,711,687,,1,
1612062,SOSIOLOGI,35,443,478,518,24,58,36,28,38,57,2,8,4,337,358,401,32,36,22,15,6,10,15,20,16,,,1,,,,38,38,39,1,1,2,312,337,381,,,
1612077,ILMU KOMUNIKASI,52,1081,1078,999,44,64,24,297,242,256,26,34,26,499,536,457,45,41,29,101,84,102,62,67,82,2,1,2,,,,28,26,16,2,2,4,908,898,842,,,
1612085,AKUNTANSI,102,1182,1311,1340,84,77,36,422,519,451,39,34,28,435,481,534,44,48,57,47,48,79,154,123,157,3,1,1,,,1,41,31,31,3,3,2,962,1095,1130,,1,
1612046,MANAJEMEN,93,1595,1816,1744,73,81,36,440,538,454,55,37,46,731,786,834,82,76,88,63,98,111,161,177,153,2,,1,1,,5,57,40,31,7,3,9,1316,1524,1496,1,,
1711365,AGRONOMI,50,273,235,270,34,24,42,214,156,206,19,15,13,7,12,16,1,3,2,27,39,21,3,5,7,,,,,,,23,9,33,5,1,1,3,,1,,,
1612015,ILMU HUKUM,242,1311,1286,1388,156,138,90,420,420,425,46,35,37,627,631,699,65,43,50,57,51,65,57,57,65,1,1,2,,,1,69,43,53,4,6,6,1059,1051,1144,,,
1612031,EKONOMI PEMBANGUNAN,63,543,536,543,44,47,24,123,126,105,6,3,10,280,293,303,26,17,29,21,32,27,71,43,52,,,1,,,1,51,40,27,3,,1,369,407,405,,,
1611275,PENDIDIKAN IPA,43,139, - , - ,37, - , - ,111,,,16,,,1,,,,,,10,,,1,,,,,,,,,12,,,,,,94,,,,,
1612054,ILMU ADMINISTRASI NEGARA,54,953,1006,962,48,49,30,246,285,272,27,28,18,474,468,460,44,36,49,40,42,47,92,96,89,,,1,,,,40,45,54,2,,2,748,771,739,,,
1611252,FARMASI,15,606, - , - ,14, - , - ,394,,,26,,,37,,,3,,,110,,,8,,,,,,,,,53,,,4,,,316,,,,,
1611267,GEOFISIKA,21,36, - , - ,19, - , - ,24,,,7,,,2,,,1,,,2,,,,,,,,,,,,1,,,,,,24,,,,,
1611221,ARSITEKTUR,26,171,242, - ,19,20, - ,93,137,,8,18,,23,27,,4,2,,30,39,,2,9,,1,,,,,,12,13,,,3,,119,186,,,,
1611236,SISTEM INFORMASI,27,302,293, - ,26,21, - ,169,149,,7,14,,41,36,,6,3,,52,54,,15,18,,,,,,,,20,15,,3,4,,197,190,,,,
1611186,ILMU KELAUTAN,46,344,264,286,48,39,18,253,176,181,17,18,8,40,35,37,5,2,7,17,21,37,8,5,8,,,,,,1,80,64,65,3,3,,193,154,161,,,
1611244,PROTEKSI TANAMAN,27,97,82, - ,30,26, - ,65,56,,4,2,,13,10,,,1,,11,11,,1,,,,,,,,,22,8,,1,1,,35,51,,,,
1611163,TEKNIK MESIN,56,326,302,332,54,41,30,122,103,132,7,5,8,29,30,34,8,2,2,121,122,114,20,14,22,,1,,,,,38,26,33,,3,3,189,189,196,,,
1611171,TEKNIK ELEKTRO,53,252,296,254,47,37,24,157,147,126,7,6,12,15,20,19,2,3,1,50,87,80,6,6,8,2,1,,1,,,29,19,19,2,2,2,155,183,154,1,,
1611155,TEKNIK SIPIL,52,694,723,743,49,30,24,424,440,446,42,48,39,85,98,93,13,8,11,93,100,104,18,15,25,2,,2,1,1,2,41,27,16,2,3,3,508,576,593,,,
1612023,ILMU KESEJAHTERAAN SOSIAL,38,437,388,339,57,44,26,80,67,62,10,9,2,281,247,211,15,22,15,16,23,13,21,16,29,,,,,1,,57,41,34,2,3,1,306,263,237,2,,
1611147,TEKNIK INFORMATIKA,51,1104,1161,1067,49,38,24,583,567,478,42,67,49,185,189,207,22,23,15,180,194,217,49,52,50,3,1,1,,,2,48,32,33,3,3,3,892,941,850,,1,
1611116,FISIKA,43,67,110,96,39,37,24,53,93,80,4,10,7,1,1,,,,,7,5,6,,1,,,,,,1,,18,23,21,,3,,43,49,49,,,
1611213,STATISTIKA,23,110,106,125,20,22,35,95,80,87,4,8,6,1,8,14,1,1,3,6,6,9,2,1,2,,,,,,,9,8,10,,1,1,75,67,68,,,
1611132,KIMIA,42,162,132,176,34,49,30,122,99,134,15,15,14,3,,,,,,19,15,24,,,,,,,,,,16,14,23,1,2,1,108,87,111,,,
1611124,BIOLOGI,43,273,266,294,44,37,24,227,200,225,28,40,22,3,7,5,,,1,13,16,35,1,2,1,,,,1,2,1,39,25,31,,1,,176,187,197,,,
1611101,MATEMATIKA,42,169,170,187,37,34,24,133,132,141,11,13,18,9,8,12,1,1,1,9,8,9,3,5,3,,,,,,,27,34,39,3,2,2,109,112,117,,,
1611205,ILMU TANAH,26,197,144,122,24,20,12,131,89,75,11,8,7,18,27,17,6,,5,21,14,8,3,4,4,,,,,,,26,14,10,2,2,,105,86,78,,,
1611035,PETERNAKAN,71,342,379,285,70,104,23,206,236,170,19,13,7,63,52,55,7,12,6,33,51,30,7,8,8,,,,,,1,59,61,43,1,,1,174,200,171,,,
1611082,PENDIDIKAN KIMIA,20,150,184,180,35,35,12,132,157,148,12,21,21,1,,,,,,4,6,7,,,1,,,,,1,,9,16,16,,,1,114,138,142,,,
1611066,PENDIDIKAN FISIKA,42,125,144,195,35,39,24,111,125,165,10,10,19,,1,1,,,,4,5,7,,,2,,,,,,,11,16,22,,,1,84,102,147,,,
1611097,PENDIDIKAN MATEMATIKA,40,333,373,386,35,34,24,255,287,291,34,30,28,15,30,31,2,4,4,12,11,21,5,9,7,,,,1,1,,24,23,26,,1,2,264,296,311,,,
1512223,SENI DRAMA TARI DAN MUSIK,37,153,190,169,41,19,14,63,79,56,3,10,7,48,67,55,6,10,18,8,5,7,13,11,12,,,,,,,6,5,1,,1,2,,,,,,
1611074,PENDIDIKAN BIOLOGI,40,374,458,447,36,51,15,316,362,359,43,66,56,3,8,8,,2,,7,14,19,3,1,1,,,,,,,29,26,23,,2,2,297,355,352,,,
1611012,AGROEKOTEKNOLOGI,71,410,526,446,54,75,60,287,349,308,24,32,20,40,48,28,3,5,3,41,68,63,4,7,6,,,,,2,,113,127,108,5,5,3,204,284,224,,,
1512207,ADMINISTRASI PENDIDIKAN,62,369,296,275,60,18,16,80,65,45,7,5,5,162,121,104,16,7,22,14,15,17,71,67,67,1,,,,,,44,16,16,3,5,7,2,2,1,,,
1611027,KEHUTANAN,54,478,433,408,52,57,36,298,243,228,19,20,16,87,87,88,11,11,8,32,43,42,17,14,12,1,,,1,2,,106,84,77,4,4,3,236,248,236,,,
1611194,PENDIDIKAN DOKTER,34,905,906,880,21,24,15,831,842,815,74,64,65,,,,,,,,,,,,,,,,2,4,,67,71,47,18,14,12,323,344,390,1,,
1512165,EKONOMI ISLAM,38,419,416,324,33,32,31,79,87,63,18,18,12,170,159,105,39,39,51,20,17,14,75,65,49,2,2,3,1,,3,6,8,8,6,9,8,1,,,,,
1512215,ILMU POLITIK,66,349,314,339,37,39,45,79,64,54,12,7,7,189,184,212,27,17,22,9,17,13,20,16,20,,,,,,,42,26,43,6,4,10,1,,,,,
1611051,TEKNOLOGI INDUSTRI PERTANIAN,69,552,478,499,66,50,36,366,299,280,29,21,19,83,76,98,14,10,8,41,38,64,7,21,13,2,1,,3,1,1,88,69,48,,,1,331,301,331,,,
1512142,PSIKOLOGI,49,732,676,566,35,21,21,291,262,197,31,23,26,286,259,224,39,41,39,29,25,13,35,44,41,1,1,,,1,,50,41,22,15,17,9,1,4,4,,,
1512173,ARKEOLOGI,42,192,164,138,34,15,19,54,32,29,5,1,5,98,101,71,11,8,18,6,5,3,13,13,9,,,,3,3,1,21,24,13,5,5,2,1,,,,,
1512196,ILMU SEJARAH,42,165,154,168,39,25,21,25,19,27,6,1,2,104,102,102,16,18,21,2,5,2,9,6,10,,,,,,,24,11,17,3,2,4,,,,,,
1512134,SASTRA INDONESIA,46,173,169,160,35,19,17,47,53,36,10,7,13,69,62,55,8,11,9,6,8,14,19,15,16,,,,,,,18,9,10,1,1,2,2,,,,,
1512157,ILMU PEMERINTAHAN,81,931,1038,989,63,50,59,274,287,242,33,36,36,407,495,494,74,68,67,42,55,39,68,75,82,1,1,1,,,,20,22,27,19,22,28,2,1,,,,1
1512111,PENDIDIKAN BAHASA ARAB,43,124,77,82,40,21,21,38,13,16,6,14,12,29,18,15,22,17,32,7,2,,9,4,2,1,,,1,,,1,4,3,5,3,1,1,,,,,
1512076,AKUNTANSI,76,1229,1465,1443,97,43,38,396,454,405,34,39,43,437,535,544,63,81,77,37,52,57,202,238,269,1,2,2,3,1,2,69,73,54,25,19,36,6,6,4,,,
1512061,MANAJEMEN,98,1859,2117,1926,95,42,42,498,537,424,54,47,48,757,918,816,114,115,118,104,99,89,237,308,342,2,4,5,2,,,87,59,63,28,23,39,3,6,3,,,
1512103,PENDIDIKAN GURU PAUD,60,348,380,336,40,21,17,152,147,115,25,27,23,115,106,105,22,36,34,7,10,14,19,39,34,1,2,1,,,,7,7,12,2,4,3,1,,2,,,
1512181,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,37,238,272,269,36,15,14,81,92,92,13,17,11,92,117,115,12,15,18,9,3,9,24,18,13,,,,,,,12,9,19,6,2,1,,,,,,
1512045,ILMU HUKUM,262,1798,1665,1614,251,144,126,649,554,488,52,38,29,812,777,788,72,87,67,70,54,69,97,116,111,3,,1,3,2,2,178,111,111,27,23,22,7,5,1,,,
1512092,BIMBINGAN DAN KONSELING,75,582,538,528,67,38,51,200,210,152,14,15,15,248,207,232,33,36,31,23,15,20,44,38,45,,,1,1,1,,28,25,36,6,5,6,3,2,2,,,
1512053,ILMU EKONOMI PEMBANGUNAN,96,975,868,853,101,49,37,220,180,161,32,21,11,483,423,417,51,58,74,35,34,32,104,120,122,1,2,3,,,,89,45,45,12,14,13,1,3,2,,,
1512084,PEND. GURU SEKOLAH DASAR,92,1304,1394,1279,77,117,52,571,604,525,74,72,61,402,437,410,59,84,78,47,48,65,91,98,96,1,4,3,1,2,1,70,73,102,10,18,12,3,5,,,,
1512126,PENDIDIKAN SEJARAH,40,265,270,259,33,18,16,69,63,57,12,6,8,143,170,145,17,14,18,6,2,9,8,8,15,,,,,,1,20,15,15,6,4,5,,,3,,,
1511371,TEKNOLOGI INDUSTRI PERTANIAN,41,292,245,256,44,37,34,161,129,146,23,12,11,31,41,29,6,1,10,38,39,31,21,10,18,1,,,,,,60,32,48,6,8,7,,,,1,,
1511332,TEKNIK GEOFISIKA,19,63,76,93,16,16,14,50,58,66,4,6,11,2,3,2,,,,6,4,10,1,1,1,,,,,,,15,5,11,,1,2,,,,,,
1512022,"PEND. BAHASA, SASTRA INDONESIA & DAERAH",76,578,719,709,74,22,18,250,279,254,31,40,36,170,238,239,36,45,53,18,35,30,51,45,55,,1,1,,,,36,39,32,5,8,7,1,1,3,,,
1512014,PEND. EKONOMI,57,376,431,461,36,34,28,49,74,68,6,12,6,171,176,206,33,36,36,14,30,19,77,82,99,,2,2,,1,,34,25,20,10,9,7,2,,1,,,
1511324,TEKNIK ELEKTRO,25,251,296,226,23,21,18,102,133,75,12,9,10,20,29,16,5,3,7,77,98,84,11,9,17,3,1,2,,,,27,32,16,6,6,3,1,,3,,,
1511316,KEPELATIHAN OLAHRAGA,69,170,171,175,94,70,27,65,53,44,4,3,4,60,72,69,6,2,9,15,20,18,8,15,15,1,,1,,,,17,14,7,4,2,4,1,2,,,,
1511363,TEKNIK PERTANIAN,43,394,477,491,42,32,53,196,218,239,20,24,17,68,98,81,10,19,25,57,69,66,19,27,47,2,,1,,,,37,33,67,3,8,12,1,1,,,,
1511301,TEKNIK LINGKUNGAN,24,236,224,206,23,21,19,162,156,144,14,8,12,23,23,18,4,1,5,22,24,15,4,10,7,,,,,,,12,12,8,3,4,3,,,,,,
1512037,PEND. BAHASA INGGRIS,74,672,752,656,40,29,28,329,335,249,44,51,48,153,198,159,42,42,48,30,31,40,51,58,70,1,,1,,,,31,22,21,14,11,7,4,5,1,,,
