kode_prodi,nama_prodi,daya_tampung_2019,jumlah_peminat_2018,jumlah_peminat_2017,jumlah_peminat_2016,daya_tampung_2018,daya_tampung_2017,daya_tampung_2016,sma_ipa_2018,sma_ipa_2017,sma_ipa_2016,ma_ipa_2018,ma_ipa_2017,ma_ipa_2016,sma_ips_2018,sma_ips_2017,sma_ips_2016,ma_ips_2018,ma_ips_2017,ma_ips_2016,smk_ipa_2018,smk_ipa_2017,smk_ipa_2016,smk_ips_2018,smk_ips_2017,smk_ips_2016,smk_agama_2018,smk_agama_2017,smk_agama_2016,aceh_2018,aceh_2017,aceh_2016,sumatera_utara_2018,sumatera_utara_2017,sumatera_utara_2016,riau_2018,riau_2017,riau_2016,bengkulu_2018,bengkulu_2017,bengkulu_2016,kalimantan_barat_2018,kalimantan_barat_2017,kalimantan_barat_2016
3421051,TEKNIK SIPIL ,48,1039,988,1019,32,32,36,686,627,702,67,68,65,47,27,38,8,12,3,198,199,165,12,20,14,,4,4,,1,1,8,19,21,,4,1,1,2,3,1,,1
3512092,BAHASA DAN SASTRA INDONESIA,32,752,600,526,31,30,24,145,125,109,33,28,25,280,233,194,86,56,47,57,44,34,87,55,73,4,6,,,,,3,1,3,1,2,,,,2,2,,
3512103,BAHASA DAN SASTRA INGGRIS,32,1049,913,635,31,30,16,303,292,188,50,39,28,355,342,230,51,42,22,107,77,51,104,64,73,2,1,,,,1,8,5,1,3,2,,2,2,,2,2,
3512061,AKUNTANSI,60,2169,2356,2028,61,60,48,587,626,495,41,43,21,917,1045,897,73,92,127,53,68,67,429,423,370,14,5,5,1,2,,12,20,5,4,3,6,3,5,1,3,2,2
3512053,EKONOMI PEMBANGUNAN,60,1931,1829,1392,63,60,48,315,285,206,23,22,8,1098,1036,814,95,108,104,75,76,55,271,262,172,5,,3,,,,16,25,10,3,1,1,2,1,,2,1,
3512084,ILMU POLITIK,42,884,754,714,29,30,24,175,158,156,23,14,18,540,451,431,35,49,44,32,33,19,44,32,30,5,,1,,1,1,9,7,11,,3,1,,,1,,,
3512037,ADMINISTRASI NEGARA,62,2191,2131,1790,62,55,44,380,372,298,35,44,35,1246,1223,1018,122,132,118,74,72,54,271,248,214,9,3,7,,1,,15,13,13,2,3,2,,,2,5,2,1
3512022,SOSIOLOGI,62,1467,1375,1065,51,50,40,98,85,73,18,21,13,975,894,712,173,199,144,61,51,36,108,88,63,,1,,1,,,5,7,,3,,3,1,1,,,,
3512076,ILMU KOMUNIKASI,40,2853,2428,1941,51,35,28,559,485,392,65,52,29,1472,1288,1049,158,129,102,265,215,164,210,144,122,10,2,7,,1,,15,15,6,9,8,5,3,1,,5,2,
3511243,TEKNIK INDUSTRI,22,852,697,504,24,20,16,590,433,296,44,47,23,18,9,16,1,4,1,148,170,132,9,6,6,3,4,5,,,,13,6,2,1,,1,,1,2,,1,
3512014,ILMU HUKUM,178,3433,2796,2349,192,185,100,879,750,588,77,58,53,1983,1597,1350,155,135,134,147,101,71,107,88,89,3,5,2,1,4,1,57,46,42,8,10,3,,3,3,5,3,2
3512045,MANAJEMEN,61,3239,3314,2561,63,60,48,725,722,472,73,65,52,1528,1605,1305,185,167,165,164,199,124,410,428,324,20,7,14,2,1,1,9,19,17,1,10,6,4,3,1,6,3,1
3511212,PENDIDIKAN DOKTER GIGI,25,1929,1871,1616,25,20,16,1721,1666,1474,119,125,103,9,13,8,1,,1,55,43,19,,1,,,,,3,3,,38,29,22,22,19,14,14,9,7,16,15,14
3511204,TEKNIK INFORMATIKA,32,2046,1620,1432,34,30,24,1213,872,711,125,107,87,75,80,90,13,20,13,490,429,408,49,33,36,8,12,11,3,,1,12,15,12,9,1,3,3,3,2,4,2,1
3511227,ILMU GIZI,40,1955,1509,1197,31,20,16,1546,1184,913,208,147,122,16,17,7,2,4,1,124,114,114,15,9,14,5,2,,1,1,,23,18,15,5,7,,3,4,1,3,,4
3511235,PENDIDIKAN JASMANI KESEHATAN DAN REKREASI,41,376,367,301,35,20,16,143,144,107,34,27,13,87,89,86,21,28,25,45,42,39,12,10,13,5,4,4,,,,3,1,,1,,,1,,,,,
3511193,PETERNAKAN,115,1439,1547,1249,109,125,100,1003,1077,802,143,143,134,58,69,89,12,29,16,159,165,149,19,15,18,4,4,4,1,,,12,13,11,3,5,1,1,1,,2,1,2
3511185,ILMU DAN TEKNOLOGI PANGAN,50,1558,1334,1072,53,50,32,1273,1106,876,155,120,96,8,2,4,4,3,2,87,88,75,12,3,6,,,,2,,,17,14,11,8,5,2,2,,2,1,3,1
